rating,title,text,reference,label,confidence,primary_emotion,reason,model,status
1.0,Disappointed,I was disappointed that my message was not in the gift box.  So glad I opened it to check.  I ordered two $50 gift card with boxes.  Both had no messages in them.  The message were on my receipt.  But not in the gift.  I had to cut the tape open and to my disappointment my message was not in them.,NEGATIVE,NEGATIVE,0.95,sadness,Message missing from gift boxes,DeepSeek-V4-Flash-0731,ok
1.0,Not Activated,I ordered 2 Sonic gift cards luckily I was checking balance before gifting them because neither card was activated and were useless . So buyer beware….one star cause they won’t except no stars,NEGATIVE,NEGATIVE,0.97,anger,"cards not activated, useless",DeepSeek-V4-Flash-0731,ok
1.0,Very disappointed. Just received a think paper amazon card without ...,Want to give zero star. Very disappointed. Just received a think paper amazon card without flowerpot reveal.,NEGATIVE,NEGATIVE,0.95,sadness,"Very disappointed, want zero star",DeepSeek-V4-Flash-0731,ok
1.0,Buyer beware!,"Should have read the reviews...card not valid and Grubhub was no help. Amazon was great, gave me a refund. Buyer beware!",NEGATIVE,NEGATIVE,0.9,anger,"card not valid, Grubhub unhelpful",DeepSeek-V4-Flash-0731,ok
1.0,0 Balance!!! Says Card NOT Activated!,Do not buy! Refund my money!!!!,NEGATIVE,NEGATIVE,0.98,anger,Do not buy! Refund my money!,DeepSeek-V4-Flash-0731,ok
1.0,item was damaged - cannot use it,item was damaged and as I understand - I cannot get my money back and I cannot use it because code get damaged,NEGATIVE,NEGATIVE,0.97,anger,"damaged, unusable, no refund",DeepSeek-V4-Flash-0731,ok
1.0,don't buy one,don't buy one! This is a big scam. They offered a $10 reload bonus on a $100 gc . WHATEVER! I chatted with four different people whom all assured me everything  was done right. I can do math! Save yourself the headache and pay as you go. It' alot easier.,NEGATIVE,NEGATIVE,0.98,anger,"Scam, headache, don't buy",DeepSeek-V4-Flash-0731,ok
1.0,Crap,Don't buy! Can't use them at gas stations which is why I bought them.,NEGATIVE,NEGATIVE,1.0,anger,"Crap, don't buy, unusable at stations",DeepSeek-V4-Flash-0731,ok
1.0,Broken,The box and the pop ups did not work and were not fixable. Bent incorrectly and broken.,NEGATIVE,NEGATIVE,0.98,anger,"Broken, not fixable",DeepSeek-V4-Flash-0731,ok
1.0,Time is not free,"The transaction was made through my electronic signature by my bank through an open tab in the Amazon app. But I still had my account blocked until I presented my credit card information to prove that I had made the transaction and resume my account.<br />Also, the first time I uploaded my invoice file to prove my account ownership, Amazon responded in less than a minute that the file was not enough to unlock the account. However, I sent the same pdf of the invoice and photos of my credit cards, and in this new analysis, it took almost 24 hours to analyze (maximum deadline given by them for analysis) and release my account, causing me to miss the deadline to renew my psn plus subscription.",NEGATIVE,NEGATIVE,0.95,anger,"Account blocked, slow resolution, missed deadline.",DeepSeek-V4-Flash-0731,ok
1.0,Number was illegible,I was unable to redeem the gift card because the number was completely illegible. Tried to get help to no avail.,NEGATIVE,NEGATIVE,1.0,anger,"illegible number, redemption failed, no help",DeepSeek-V4-Flash-0731,ok
1.0,"I was buying TurboTax, and thought I was getting a $10 discount, not a gift card","I did not want the gift card and did not realize I was paying extra for it. I was shopping for TurboTax and wanted only TurboTax, and I thought I was getting a $10 discount, not a $10 add-on that I did not want or need.",NEGATIVE,NEGATIVE,0.95,anger,"Unwanted gift card, paying extra",DeepSeek-V4-Flash-0731,ok
1.0,One Star,Always a nice gift for someone you don't know what to give them,NEGATIVE,POSITIVE,0.9,joy,nice gift,DeepSeek-V4-Flash-0731,ok
1.0,Bad and confusing experience,"I have a Canadian Amazon account and the gift card was sent to US. So I had to use Amazon US instead.<br />The process was difficult because the system was not similar to the one I follow in my regular Amazon account. Also, there was not a function or place to add a message or few words to the person who was going to receive the gift card. In addition, I'm used to get a message to know if the person received the present. This time I didn't get anything, so I don't even know if my present was received. Sorry, but it was not a good experience.",NEGATIVE,NEGATIVE,0.95,anger,"Bad, difficult, not good experience",DeepSeek-V4-Flash-0731,ok
1.0,Terrible condition!,This is supposed to be a gift but the cardboard part is in terrible shape and if you take if off of the cardboard backing then you won't actually see the dog which is what makes the card so cute!  To top it off it's a non-returnable item!,NEGATIVE,NEGATIVE,0.95,anger,"Terrible condition, damaged, non-returnable",DeepSeek-V4-Flash-0731,ok
1.0,Gift card never arrived even though ups said it did ...,Gift card never arrived even though ups said it did. Said it arrived Sat 12:49<br />Send gift cards out FedX,NEGATIVE,NEGATIVE,0.97,anger,Gift card never arrived,DeepSeek-V4-Flash-0731,ok
1.0,Gift Card reload not working,The option to reload does not work for this account. Amazon needs to take a closer look at why it does not work but they keep telling us to 'try again'. We tried several times and it looks like their advice is not solving the problem.,NEGATIVE,NEGATIVE,0.95,anger,"reload not working, unhelpful advice",DeepSeek-V4-Flash-0731,ok
1.0,Don’t get it,My gift cards were not actived I don’t know what to do,NEGATIVE,NEGATIVE,0.95,fear,"gift cards not activated, helpless",DeepSeek-V4-Flash-0731,ok
1.0,Great,It's ok. Need to give more for our money,NEGATIVE,NEGATIVE,0.65,sadness,Complains about value,DeepSeek-V4-Flash-0731,ok
1.0,No,No,NEGATIVE,NEGATIVE,0.6,disgust,Terse 'No' suggests rejection,DeepSeek-V4-Flash-0731,ok
1.0,Amazon Reload,"I'm only giving this 1 star, since this Amazon Reload Gift Card was not authorized by me, someone had fraudulently used my account.. Amazon Customer Service notified me IMMEDIATELY & I'm very grateful for all their assistance.  Gift Cards are wonderful to use when you don't know what someone else wants as a Gift.  In the future, I will probably give this as a ''GIFT'' too... KUDOS to Amazon Customer Service, keep up the good work!!",NEGATIVE,POSITIVE,0.7,trust,Grateful for Amazon assistance; praises gift cards.,DeepSeek-V4-Flash-0731,ok
